"Component","Version","Latest version","CVE","Matching type","CVSS","CVE publication date","Object compilation date","Object","Object full path","Object SHA1","CVSS3","CVSS vector (v2)","CVSS vector (v3)","Distribution package","Distribution package name","CVSS (Distribution)","CVSS3 (Distribution)","Triage vectors","Unresolving triage vectors","Note type","Note reason","Vulnerability URL","Missing exploit mitigations","BDSA","Version override type","Exploit availability date","Fix date","Worker version","Frontend version","CVE database version","BDSA database version","Component database version","Vulnerabilities updated","Native fingerprint version","Code similarity fingerprint version","Java fingerprint version","Maven fingerprint version","Dotnet fingerprint version","Cocoapods fingerprint version","Golang fingerprint version","Python fingerprint version","Distro-packages fingerprint version"
"bouncycastle","1.79","1.70","CVE-2018-1000613","Historical match","5.5","2018-07-26T13:06:30Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","8.5","","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-1000613","","BDSA-2018-2512","","","2018-03-03","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2018-1000180","Historical match","5.0","2018-07-02T11:10:53Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","7.8","","AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-1000180","","BDSA-2018-1843","","","2018-04-19","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2015-7940","Historical match","5.0","2015-11-09T16:59:09Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","5.0","AV:N/AC:L/Au:N:/C:P/I:N/A:N","","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2015-7940","","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000345","Historical match","4.3","2018-06-28T10:46:43Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","4.2","","AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000345","","BDSA-2016-1514","","","2016-08-27","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000339","Historical match","4.3","2018-06-29T16:23:09Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","4.2","","AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000339","","BDSA-2018-2052","","","2016-11-29","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2013-1624","Historical match","4.2","2019-02-05T11:03:13Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","5.3","","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N/E:P/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2013-1624","","BDSA-2013-0038","","2013-02-27","2015-11-22","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2020-28052","Historical match","4.0","2020-12-17T14:23:38Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","8.1","","AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H/E:P/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2020-28052","","BDSA-2020-3371","","2020-12-17","2020-11-01","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2023-33202","Historical match","3.7","2023-11-24T15:39:36Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","6.5","","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2023-33202","","BDSA-2023-3254","","","2023-03-10","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2023-33201","Historical match","3.7","2023-06-30T15:13:58Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","6.5","","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2023-33201","","BDSA-2023-1625","","","2023-04-28","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2020-26939","Historical match","3.7","2020-11-03T12:17:31Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","6.5","","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2020-26939","","BDSA-2020-3123","","","2018-08-07","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000340","Historical match","3.7","2019-11-22T15:47:34Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","6.5","","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000340","","BDSA-2018-5095","","","2014-06-21","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000342","Historical match","3.7","2018-06-27T15:34:41Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","4.6","","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000342","","BDSA-2016-1512","","","2016-10-15","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2017-13098","Historical match","3.2","2017-12-13T13:38:15Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","5.2","","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-13098","","BDSA-2017-2248","","","2017-12-12","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000346","Historical match","3.2","2019-11-22T13:48:12Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","3.2","","AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000346","","BDSA-2018-5096","","","2016-10-29","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000343","Historical match","3.0","2018-06-28T13:25:32Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","6.4","","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000343","","BDSA-2016-1519","","","2016-11-03","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000341","Historical match","3.0","2018-05-23T11:37:09Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","6.4","","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000341","","BDSA-2016-1303","","","2016-10-15","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"bouncycastle","1.79","1.70","CVE-2016-1000338","Historical match","3.0","2018-06-29T11:27:13Z","2024-10-29T22:27:24Z","bcprov-jdk18on-1.79.jar","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/stdlib/org/bouncycastle/bcprov-jdk18on/1.79/bcprov-jdk18on-1.79.jar","4d8e2732bcee15f1db93df266c3f5b70ce5cac21","6.4","","AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H/E:U/RL:O/RC:C","","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2016-1000338","","BDSA-2016-1520","","","2016-10-14","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
